what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401783921696
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401783922620
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401783925221
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401783928466
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401783928510
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401783935537
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401783937825
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1401783951046
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1401783980688
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401783982220
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401784044329
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401784045696
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401784054284
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401784108863
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1401784113726
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401784118812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401784132424
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1401784166605
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401784337107
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.5,"org.tigris.subversion.clientadapter.javahl",1401784337271
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.4,"org.tigris.subversion.clientadapter.svnkit",1401784337272
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1401784338584
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401784438968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401784443521
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401784444823
