what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401804937149
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401804975090
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401804984037
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1401804994972
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401804996089
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401805001546
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1401805001557
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401805006786
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1401805008695
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1401805009449
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1401805017024
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1401805020140
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401805023970
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401805038233
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401805053506
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401805120006
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401805179170
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1401805181881
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401805188077
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401805203066
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401805211350
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401805226567
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401805229578
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1401805236201
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1401805245796
