what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697676724
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697679019
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697682315
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697682358
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697685979
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1401697687209
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1401697687217
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1401697687247
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1401697687275
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1401697687399
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697743512
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697782988
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697792248
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697955062
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1401697984953
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1401697985680
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401697987107
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401698177954
started,bundle,org.eclipse.mylyn.java.tasks,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.java.tasks",1401698183230
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1401698183616
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401698184439
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401698191540
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1401698191561
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401698193935
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1401698206605
