what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301875653
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301878942
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301879015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301886349
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301892457
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301893940
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301894348
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401301895738
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401303723357
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401346984458
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347112238
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347162991
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347189279
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347251816
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347258068
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401347263388
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401347263471
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347263606
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1401347263622
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1401347263622
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347266080
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347289201
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347290846
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401347302572
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1401347302599
