what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1401298626656
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401298626656
java.specification.version,sysinfo,,,"1.5",1401298626656
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1401298626656
java.version,sysinfo,,,"1.5.0_22",1401298626656
java.vm.info,sysinfo,,,"mixed mode, sharing",1401298626656
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401298626656
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401298626656
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401298626656
java.vm.specification.version,sysinfo,,,"1.0",1401298626656
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1401298626656
java.vm.version,sysinfo,,,"1.5.0_22-b03",1401298626656
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1401298628486
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1401298638825
started,bundle,tv.osmosys.sdk.launching,2.2.1,"tv.osmosys.sdk.launching",1401298638906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401298639002
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401298640340
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401298641084
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1401298641144
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1401298641217
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401298643754
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401298645570
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401298649945
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1401298650925
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1401298652800
