what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1401807824357
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1401807824397
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401807858364
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1401807858422
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401807871978
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401807877442
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401807885543
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808136220
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1401808138669
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1401808142812
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1401808144722
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808149191
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808157647
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808159047
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808162204
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401808164370
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1401808179097
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1401808181697
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1401808190694
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808197955
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808201624
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1401808201649
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1401808201649
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808205895
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401808215360
