what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401785841218
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1401785844171
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1401785846359
started,bundle,org.eclipse.mylyn.java.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.java.ui",1401785849621
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1401785869143
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1401785888184
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1401785890631
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1401785891876
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401785895232
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401785907460
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401785933918
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1401785937679
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401785939445
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1401785941917
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401786021381
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1401786025212
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1401786026901
error,log,,,"Application with the same OID and AID is already running on 'STB Telenet'. Terminate old application or change OID/AID.",1401786029225
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401786029304
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401786030111
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401786070202
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401786071435
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401786074831
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401786078099
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401786078142
