what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401725839549
java.specification.version,sysinfo,,,"1.5",1401725839549
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1401725839549
java.version,sysinfo,,,"1.5.0_22",1401725839549
java.vm.info,sysinfo,,,"mixed mode, sharing",1401725839549
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401725839549
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401725839549
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401725839549
java.vm.specification.version,sysinfo,,,"1.0",1401725839549
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1401725839549
java.vm.version,sysinfo,,,"1.5.0_22-b03",1401725839549
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1401725915131
started,bundle,tv.osmosys.sdk.launching,2.2.1,"tv.osmosys.sdk.launching",1401725915242
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725915350
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1401725915447
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1401725915549
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725916566
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725916884
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725918460
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725921124
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725924359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725924398
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1401725933646
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1401725936019
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1401725938286
